Składniki	Складники
Właściwości	Властивості
Nie możesz teraz odłożyć pochodni!	Ви не можете загасити смолоскип зараз!
Trzymasz już coś innego w lewej dłoni!	Ви вже тримаєте щось інше в лівій руці!
Nie możesz trzymać pochodni podczas walki!	Ви не можете тримати смолоскип під час бою!
Nie możesz teraz trzymać pochodni!	Ви не можете зараз тримати смолоскип!
Nie masz pochodni!	У вас немає смолоскипа!
Nie możesz trzymać pochodni w trakcie rozmowy!	Ви не можете тримати смолоскип під час розмови!
Archolos	Архолос
Kopalnia	Копальня
Grobowiec	Гробниця
Kanały	Каналізація
Nowy wpis:	Новий запис:
Jestem gotowy do walki!	Я готовий до бою!
Czujesz, jak siła wypełnia twoje ciało!	Ви відчуваєте, як міць наповнює ваше тіло!
Za mało many...	Недостатньо мани...
Za daleko do magicznego kręgu...	Занадто далеко від магічного кола...
Jestem na patrolu,	Я в патрулі,
nie mogę zdjąć stroju rekruta!	Я не можу зняти форму новобранця!
Nie powinienem biegać w tym pancerzu	Я не повинен шастати в цих обладунках
bez pozwolenia Graysona!	без дозволу Грейсона!
Zróżnicowania dieta	Різноманітне харчування
poprawia twoje zdrowie +	збільшує здоров'я +
Dźwięk fletu osłabia bestie!	Звук флейти послаблює звірів!
Twoja siła wzrasta!	Ваша сила зростає!
Meble zostały przeniesione do domu!	Меблі були перенесені до будинку!
Możesz mieć ze sobą maksymalnie 2 towarzyszy!	З вами можуть бути максимум 2 компаньйони!
Remy oddał ci nadmiar mięsa.	Ремі повернув вам надлишки м'яса.
Szybko minęło...	Час пролетів швидко...
Nic nie bierze...	Не клює...
Nic nie zostało.	Нічого не залишилося.
Złowiłeś 1 rybę!	Ви спіймали одну рибину!
Złowiłeś 2 ryby!	Ви спіймали 2 рибини!
Złowiłeś grubą rybę!	Ви спіймали велику рибину!
Złowiłeś 3 ryby!	Ви спіймали 3 рибини!
Złowiłeś 2 grube ryby!	Ви спіймали дві великі рибини!
Założyłeś broń podczas trwania efektu pierścieni pięściarza!	Ви спорядили зброю, коли ефект боксерських кілець був активним!!
Jeden z pierścieni pięściarza zsuwa ci się z palca!	Одне з кілець боксера зісковзує з пальця!
Odzyskałeś 10000 sztuk złota.	Ви отримали 10 000 золотих.
Oddałeś 10000 sztuk złota.	Ви віддали 10 000 золотих.
Trociny zasypują okolicę...	Тріски розлітаються на всі боки...
Zdobyłeś 1 kawałek drewna!	Видобуто 1 шматок деревини!
Zdobyłeś 2 kawałki drewna!	Видобуто 2 шматки деревини!
Zdobyłeś 3 kawałki drewna!	Видобуто 3 шматки деревини!
Kawałki złota zasypują okolicę...	Шматки золота розлітаються навколо...
Odpadł 1 samorodek złota!	Видобуто 1 золотий самородок!
Odpadły 2 samorodki złota!	Видобуто 2 золоті самородки!
Odpadły 3 samorodki złota!	Видобуто 3 золоті самородки!
Odpadło 5 samorodków złota!	Видобуто 5 золотих самородків!
Odpadło 7 samorodków złota!	Видобуто 7 золотих самородків!
Kawałki srebra zasypują okolicę...	Шматки срібла розлітаються навколо...
Odpadł 1 samorodek srebra!	Видобуто 1 срібний самородок!
Odpadły 2 samorodki srebra!	Видобуто 2 срібних самородки!
Odpadły 3 samorodki srebra!	Видобуто 3 срібних самородки!
Kawałki żelaza zasypują okolicę...	Шматки заліза розлітаються навколо...
Odpadł 1 samorodek żelaza!	Видобуто 1 залізний самородок!
Odpadły 2 samorodki żelaza!	Видобуто 2 залізні самородки!
Odpadły 3 samorodki żelaza!	Видобуто 3 залізні самородки!
Kawałki magicznej rudy zasypują okolicę...	Шматки магічної руди розлітаються навколо...
Odpadła 1 bryłka magicznej rudy!	Видобуто 1 самородок магічної руди!
Odpadły 2 bryłki magicznej rudy!	Видобуто 2 самородки магічної руди!
Odpadły 3 bryłki magicznej rudy!	Видобуто 3 самородки магічної руди!
Lokvar oddał ci nadmiar roślin.	Локвар повернув вам надлишки рослин.
Czujesz się osłabiony i zdezorientowany.	Ви відчуваєте себе ослабленим і розгубленим.
Schemat	Креслення
Receptura	Кулінарний рецепт
Przepis	Кулінарний рецепт
Składniki:	Складники:
Właściwości przedmiotu:	Властивості предмету
Wymagane Kowalstwo:	Необхідне Ковальство:
Wymagane łuczarstwo:	Необхідне Виготовлення луків:
Wymagane Alchemia:	Необхідна Алхімія:
Stworzono:	Створено:
Złoże soli	Поклади солі
Worki Albyna	Мішки Альбіна
Łóżko Rasco	Ліжко Раско
Koksownik	Жаровня
Pokój Recona	Кімната Рікона
Kufer Recona	Скриня Рікона
Jabłko	Яблуко
Skrzynia	Ящик
Skrzynia na winogrona	Ящик для винограду
Palma	Пальма
Kufer Rodrigo	Скриня Родріго
Kufer Roya	Скриня Роя
Kufer Svena	Скриня Свена
Beczka z piwem	Бочка з пивом
Kufer Arethe	Скриня Арета
Kufer Jona	Скриня Йона
Kosz na śmieci	Кошик для сміття
Sarkofag	Саркофаг
Arena	Арена
Skrzynia z pancerzami	Скриня з обладунками
Przebrany krzak winogron	Обірваний кущ винограду
Dorodny krzak winogron	Великий кущ винограду
Tablica ogłoszeń	Дошка оголошень
Szczurza nora	Щюряча нора
Beczka	Бочка
Warsztat	Верстак
Skrzynia	Дерев'яна скриня
Kufer Salviego	Скриня Сальві
Hamak	Гамак
Skrzynia z rybami	Ящик з рибою
Obraz	Картина
Skrzynia ludzi Volkera	Скриня людей Волкера
Beczka z wodą	Бочка з водою
Obmyj się	Вмитися
Skrzynia Dacka	Скриня Дака
Posąg Adanosa	Статуя Аданоса
Stół do pisania	Письмовий стіл
Wyeksploatowane złoże	Вичерпане родовище
Obfite złoże	Багате родовище
Dziennik badań, tom I	Дослідницький журнал. Том I
Kufer Einara	Скриня Ейнара
Kufer Davisa	Скриня Девіса
Kufer Gerstanda	Скриня Герстанда
Beczka fortuny	Бочка удачі
Złoże żelaza	Родовище заліза
Obalone drzewo	Повалене дерево
Wyeksploatowane drzewo	Виснажене дерево
Złoże srebra	Родовище срібла
Złoże magicznej rudy	Родовище магічної руди
Stara skrzynia	Стара скриня
Ciosaj Innosy	Вирізати фігурки Інносів
Zakop grób	Закопати могилу
Odkop grób	Розкопати могилу
Zbierz krew	Зібрати кров
Schowaj się w beczce	Сховатись у бочці
Przesuń skrzynie	Перемістити ящики
Otwórz trumnę	Відкрити труну
Odbierz rzeczy	Забрати предмети
Przeszukaj krzaki	Шукати кущі
Podpal beczkę	Підпалити діжку
Zniszcz beczkę	Розламати діжку
Zniszcz skrzynkę	Розламати ящик
Poszukaj skarbu	Шукати скарб
Zacznij kopać	Почати копати
Przybij ogłoszenie	Прибити оголошення
Włóż miecz	Опустити меч
Kopnij	Стусан
Rozpal ognisko	Розпалити багаття
Zetnij	Зрубати
Usiądź przy ognisku	Сісти біля багаття
