%s - Poziom %d - Rozdział %d	%s - Рівень %d - Розділ %d
'Ciasto' z łajna	'Пиріг' з гною
'Dopraw' potrawkę Bertera	'Приправити' страву Бертера
'Idealnie zwalcza objawy choroby morskiej.'	'Чудово лікує симптоми морської хвороби'.
'Zardzewiały' Pancerz straży	'Заіржавілий' обладунок вартового
'Zardzewiały' pancerz straży	'Заіржавілий' обладунок вартового
(Bez czapki)	(Без капелюха)
(Kup biało-brązowy strój)	(Придбати біло-коричневе вбрання)
(Kup biało-czerwony strój)	(Придбати біло-червоне вбрання)
(Kup brązowo-czerwony strój)	(Придбати коричнево-червоне вбрання)
(Kup brązowy strój)	(Придбати коричневе вбрання)
(Kup ciemnobrązowy strój)	(Придбати темно-коричневе вбрання)
(Kup czarno-biały strój)	(Придбати чорно-біле вбрання)
(Kup czarny strój)	(Придбати чорне вбрання)
(Kup czerwony strój)	(Придбати червоне вбрання)
(Kup jasnobrązowy strój)	(Придбати світло-коричневе вбрання)
(Kup niebieski strój)	(Придбати синє вбрання)
(Kup niebiesko-szary strój)	(Придбати синьо-сіре вбрання)
(Kup oliwkowo-czerwony strój)	(Придбати оливково-червоне вбрання)
(Kup pomarańczowo-zielony strój)	(Придбати помаранчево-зелене вбрання)
(Kup strój bogatego kupca - 400 SZ)	(Придбати вбрання багатого торговця - 400 золота)
(Kup strój obywatela - 200 SZ)	(Придбати вбрання містянина - 200 золота)
(Kup zielony strój)	(Придбати зелене вбрання)
(Kup zużyty strój obywatela - 100 SZ)	(Придбати поношене вбрання містянина - 100 золота)
(Z czapką)	(З капелюхом)
Abu-Dub	Abu-Dub
Adanos dziękuje ci za modlitwę.	Аданос дякує вам за ваші молитви.
Adanos oczyścił twego ducha.	Аданос очистив ваш дух.
Adorator	Шанувальник
Adresatem jest Darthe.	Адресовано Дарту.
Agitator	Агітатор
Agresywny biedak	Агресивний волоцюга
Agresywny uchodźca	Агресивний біженець
Akrobatyka	Акробатика
Akt własności domu	Право власності на будинок
Akt własności sklepu Fridy	Право на володіння магазином Фріди
Akt własności, który Frida	Документ про власність, який Фріда
Akt własności, który dostałem od żeglarza.	Акт власності, який я отримав від моряка.
Aktywny nowicjusz	Активний послушник
Akwamaryn	Аквамарин
Alchemia	Алхімія
Alchemia - doświadczony	Алхімія - Досвідчений
Alchemia - mistrz	Алхімія - Майстер
Alchemia - zielony	Алхімія - Початківець
Alchemik	Алхімік
Alembik	Перегінний куб
Aligator	Алігатор
Almanach miar alchemicznych	Альманах алхімічних вимірювань
AloReanimator - Chciałby wiedzieć co masz na sobie	AloReanimator – 'Хотів би знати, у що ти вдягнута'
Ambitny nowicjusz	Амбітний послушник
Amulet	Амулет
Amulet Fane'a	Амулет Фейна
Amulet Leny	Амулет Лени
Amulet Maga Wody	Амулет мага Води
Amulet Myrtańczyka	Амулет жителя Міртани
Amulet Nordmarczyka	Нордмарський амулет
Amulet Południowca	Амулет південця
Amulet Wilczego Syna	Амулет Вовчого Сина
Amulet Wodnego Kręgu	Амулет Кільця Води
Amulet akrobaty	Амулет акробата
Amulet berserkera	Амулет берсерка
Amulet duchowego pancerza	Амулет духовної броні
Amulet dębowej skóry	Амулет дубової шкіри
Amulet długowieczności	Амулет довголіття
Amulet jest pozbawiony mocy	Амулет позбавлений сили
Amulet kamiennej skóry	Амулет кам'яної шкіри
Amulet krzepy	Амулет міцності
Amulet magicznego pancerza	Амулет магічної броні
Amulet magicznej mocy	Амулет магічної сили
Amulet magii	Амулет магії
Amulet many	Амулет мани
Amulet matki	Амулет матері
Amulet mistrza przywołań	Амулет майстра виклику
Amulet mocnych kości	Амулет міцних кісток
Amulet mocy	Амулет могутності
Amulet męczennika	Амулет мученика
Amulet obrońcy	Амулет захисника
Amulet ochronny	Амулет захисту
Amulet ochrony przed ogniem	Амулет захисту від вогню
Amulet od Custo	Амулет від Кусто
Amulet ognistej skóry	Амулет вогняної шкіри
Amulet ostatniego bastionu	Амулет останнього бастіону
Amulet oświecenia	Амулет просвітлення
Amulet pancerza	Амулет броні
Amulet pirata	Амулет пірата
Amulet siły	Амулет сили
Amulet skały	Амулет скелі
Amulet starego awanturnika	Амулет старого шукача пригод
Amulet ten może ochronić noszącego przed śmiercią,	Цей амулет може захистити власника від смерті,
Amulet z Archolos	Амулет Архолосу
Amulet zdrowia	Амулет здоров'я
Amulet ze srebrnej skrzynki	Амулет зі срібної скриньки
Amulet został zniszczony!	Амулет знищено!
Amulet zręczności	Амулет спритності
Amulet zwinności	Амулет спритності
Amulet złodzieja	Амулет крадія
Amulet żelaznych kości	Амулет залізних кісток
Amulet życia	Амулет життя
Amulet, który otrzymałem od Leny.	Амулет, який я отримав від Єлени.
AnonimowyLektor - xD	AnonimowyLektor – 'xD'
Antidotum	Протиотрута
Antyczna włócznia	Стародавній спис
Antyczny puchar	Антикварний келих
Anubis - Robił dobre miny do złej gry	Anubis – 'Зберігав добре обличчя при поганій грі'
Arcanum Marum: Tom I	Арканум Марум. Том I
Arcanum Marum: Tom II	Арканум Марум. Том II
Arcanum Marum: Tom III	Арканум Марум. Том III
Arcanum Marum: Tom IV	Арканум Марум. Том IV
Arcanum Marum: Tom V	Арканум Марум. Том V
Arcanum Marum: Tom VI	Арканум Марум. Том VI
Arcanum Marum: Tom VII	Арканум Марум. Том VII
Arcanum Marum: Tom VIII	Арканум Марум. Том VIII
Archolos	Архолос
Arcydemon	Архідемон
Arena	Арена
Arni	Arni
Aromatyczna pasta do pieczywa.	Ароматний паштет для хліба.
ArounD	ArounD
Arystokrata	Аристократ
Astrolog	Астролог
Astronomia	Астрономія
Asystent Fulko	Помічник Фулько
Atrament wydaje się dość świeży.	Чорнило виглядає досить свіжим.
Austeria Ernesto - Karczma	Гостинний двір Ернесто – Корчма
Autorem jest Grayson.	Автор - Грейсон.
Baczność	Струнко
Bagienne ziele	Болотна трава
Bagienne zombie	Болотний мрець
Bagienny golem	Болотний голем
Bagienny jaszczur	Болотний ящір
Bagienny krwiopijca	Болотний шершень
Bagienny szczur	Болотний щур
Bagienny truteń	Болотний трутень
Bagna	Болота
Balista	Баліста
Banda Kija zm. 210	Banda Kija zm. 210
Bandycka buława	Бандитська булава
Bandzior	Бандит
Baran	Баран
Barania skóra	Овеча шкура
Bardzo ciężki, niemalże jak porządna broń.	Дуже важкий. Мабуть, там серйозна зброя.
Bardzo delikatna skóra.	Дуже м'яка на дотик шкура.
Bardzo duży rulon pełen bagiennego ziela.	Дуже велика скрутка з болотною травою.
Bardzo gruba ryba	Дуже товста рибина
Bardzo mocna trucizna	Дуже сильна отрута
Bardzo rzadkie trofeum.	Дуже рідкісний трофей.
Bardzo stara notatka,	Дуже стара записка,
Bardzo trudno określić wiek tego dziennika.	Дуже важко визначити, як давно був написаний цей щоденник.
Bardzo wygodne miejsce do siedzenia.	Дуже зручне місце, де можна посидіти.
Bartosz zm. 546	Bartosz zm. 546
Bastian oddał ci nadmiar jaj.	Бастіан повернув вам надлишки яєць.
Beczka	Бочка
Beczka do Animacji	Бочка для анімації
Beczka fortuny	Бочка удачі
Beczka wypełniona po brzegi czarnym prochem.	Бочка, доверху заповнена чорним порохом.
Beczka z piwem	Бочка з пивом
Beczka z prochem	Бочка з порохом
Beczka z wodą	Бочка з водою
Bestia znowu atakuje!	Звір знову атакує!
Bestiariusz: Bestie	Бестіарій: Звірі
Bestiariusz: Błotniaki	Бестіарій: Мулисті черепахи
Bestiariusz: Cieniostwory	Бестіарій: Тінезвірі
Bestiariusz: Dziki	Бестіарій: Кабани
Bestiariusz: Gobliny	Бестіарій: Гобліни
Bestiariusz: Golemy	Бестіарій: Големи
Bestiariusz: Harpie	Бестіарій: Гарпії
Bestiariusz: Jaszczury	Бестіарій: Ящери
Bestiariusz: Kraby	Бестіарій: Краби
Bestiariusz: Kretoszczury	Бестіарій: Кротощури
Bestiariusz: Krwiopijce	Бестіарій: Шершні
Bestiariusz: Niedźwiedzie	Бестіарій: Ведмеді
Bestiariusz: Nietoperze	Бестіарій: Кажани
Bestiariusz: Pełzacze	Бестіарій: Повзуни
Bestiariusz: Szczury	Бестіарій: Щурі
Bestiariusz: Szkielety	Бестіарій: Скелети
Bestiariusz: Topielce	Бестіарій: Луркери
Bestiariusz: Trolle	Бестіарій: Тролі
Bestiariusz: Trutnie	Бестіарій: Трутні
Bestiariusz: Wilki	Бестіарій: Вовки
Bestiariusz: Węże	Навчання: Болотожери і хвилежери
Bestiariusz: Zombie	Бестіарій: Мрець
Bestiariusz: Zębacze	Бестіарій: Снеппери
Bestiariusz: Ścierwojady	Бестіарій: Падальники
Bestiariusz: Żaboludzie	Бестіарій: Жаболюди
Bez porządnego snu nie dasz rady dłużej pracować.	Без повноцінного сну ви не зможете більше працювати.
Bez śladu	Без сліду
Bezdomny	Безпритульний
Beznadzieja	Безнадійність
Bełt	Болт
Bełt Arethe	Болт Арета
Bełt Grona	Болт Грона
Biało-czerwony strój	Біло-червоне вбрання
Biały niedźwiedź	Білий ведмідь
Biblioteczka	Книжкова полиця
Biedaczka	Біднячка
Biedak	Бідняк
Biedna skrzynia	Дешева скриня
Biedna wdowa	Бідна вдова
Biedne łóżko	Дешеве ліжко
Biedny farmer	Бідний фермер
Biedny stół	Дешевий стіл
Bil	Bil
Bitwa o Varrant	Війна у Варанті
Bloki dwuręczne	Дворучні блоки
Blokowanie ciosów przeciwnika za pomocą broni dwuręcznej umożliwia silnym wojownikom gwałtowne powstrzymanie wroga i przerwanie ewentualnej kombinacji jego ciosów.	Блокування ударів супротивника дворучною зброєю дозволяє сильним бійцям швидко зупинити супротивника і перервати можливу комбінацію його ударів.
Bogate łóżko	Розкішне ліжко
Bogaty duży stół	Великий розкішний стіл
Bogaty strój	Заможне вбрання
Bogaty strój z czapką	Заможне вбрання з капелюхом
Bogaty stół 1	Розкішний стіл 1
Bogaty stół 2	Розкішний стіл 2
Broń, którą posługuje się żaboludź.	Зброя, яку використовують жаболюди.
Broń, którą posługują się Wilczy Synowie.	Зброя, яку використовують Вовчі Сини.
Bruczi	Bruczi
Brudna kartka	Брудна записка
Bryłka rudy	Рудний самородок
Bryłka zawierająca złote okruchy.	Самородок, що містить золоті крихти.
Bryłka złota	Золотий самородок
Brzozowy łuk	Березовий лук
Brzydka Figurka Innosa	Потворна фігурка Інноса
Brzytwa	Бритва
Brzytwiak	Бритвозуб
Brzęcząca paczuszka od Davisa	Дзвінкий пакунок від Девіса,
Brązowy Innos	Бронзова фігурка Інноса
Brązowy strój marynarza	Коричневе вбрання моряка
Brązowy strój marynarza (100 SZ)	Коричневе вбрання моряка (100 золота)
Brązowy strój roboczy	Коричневе робоче вбрання
Buntowniczy obywatel	Бунтівний містянин
But górnika	Взуття рудокопа
But nieszczęśnika, którego znalazłem w lesie	Черевик нещасного, якого я знайшов у лісі
Buteleczka zabójczej wydzieliny trutnia.	Пляшка зі смертоносними виділеннями трутня.
Buteleczka, w którą można nalać miksturę.	Пляшечка, в яку можна налити зілля.
Butelka czystego spirytusu	Пляшка чистого спирту
Butelka czystej wody z górskich potoków Archolos.	Пляшка чистої води з гірських струмків Архолосу.
Butelka krwi kretoszczura.	Флакон з кров'ю кротощура.
Butelka podejrzanego wina	Пляшка підозрілого вина
Butelka wody	Пляшка води
Butelka wody uświęcona	Пляшка з водою, освячена
Butelka z dojrzewającym winem.	Пляшка багаторічного вина.
Butelki piwa, które otrzymałem od Tomasa	Пляшки пива, які я отримав від Томаса
Buty, które znalazłem u poszukiwanego.	Взуття, знайдене у розшукуваного.
Buzdygan	Бойова булава
Buława	Булава
Buława Generała Subliego	Булава генерала Сублі
Buława Kondominium	Булава Кондомініуму
Bójka 1	Бій 1
Bójka 2	Бій 2
Bęben	Барабан
Będę musiał postępować zgodnie z tym, co opisał.	Мені доведеться слідувати його вказівкам.
Błazen	Блазень
Błogosławione ostrze magiczne	Благословенний магічний клинок
Błogosławiony Kontynent: Tom I	Благословенний континент. Том I
Błogosławiony Kontynent: Tom II	Благословенний континент. Том II
Błogosławiony Kontynent: Tom III	Благословенний континент. Том III
Błogosławiony Kontynent: Tom IV	Благословенний континент. Том IV
Błogosławiony Kontynent: Tom V	Благословенний континент. Том V
Błotniak	Мулиста черепаха
Błysk	Спалах
Błękitne żagle: Tom I	Сині вітрила. Том I
Błękitne żagle: Tom II	Сині вітрила. Том II
Błękitne żagle: Tom III	Сині вітрила. Том III
Błękitne żagle: Tom IV	Сині вітрила. Том IV
Błękitne żagle: Tom V	Сині вітрила. Том V
Błękitne żagle: Tom VI	Сині вітрила. Том VI
Błękitne żagle: Tom VII	Сині вітрила. Том VII
Błękitne żagle: Tom VIII	Сині вітрила. Том VIII
Błękitny Orzeł	Синій орел
Carden oddał ci nadmiar futer i skór.	Карден повернув вам надлишки хутра та шкіри.
Całkowita regeneracja energii życiowej	Повністю відновлює здоров'я
Całkowita regeneracja energii życiowej.	Повністю відновлює здоров'я.
Całkowita regeneracja many	Повністю відновлює ману
Całkowita regeneracja many.	Повністю відновлює ману.
Ceniony na Archolos przysmak morski,	Цінний морський делікатес на Архолосі,
Cenne trofeum.	Цінний трофей.
Cenny biały kamień,	Дорогоцінний білий камінь,
Cenny czarny kamień,	Дорогоцінний чорний камінь,
Certyfikat przekazywany przy sprzedaży	Сертифікат, який видається після придбання скрині.
Certyfikat zakupu kufra	Сертифікат про придбання скрині
Chester	Chester
Chleb	Хліб
Chleb na piwie	Пивний хліб
Chleb z chrupiącą skórką, wypiekany z lokalnej mąki.	Хліб з хрусткою скоринкою, випечений з місцевого борошна.
