
A tak w ogóle	До речі
Almanach miar alchemicznych	Альманах алхімічних вимірювань
Araxos	Араксос
Araxos	Араксосу
Araxos	Гільдії Араксос
Biedną Dzielnicę	Бідний квартал
Bogatej Dzielnicy	Багатий квартал
Burkhard	Бурхард
Czeladnik	учень
Czeladnik Ślusarza	Учень слюсаря
Duma wyspiarza	Гордість острів'янина
Dzielnicy Biedoty	Бідний квартал
Ezekiela	Єзекіїля
Gerwin	Гервін
Gildia Kupiecka	Торгова Гільдія
Gildii Kupieckiej	Торгової Гільдії
Goniec	посланець
Gońca	підручний
Górniczej Doliny	Гірничої Долини
Górniczą Dolinę	Гірнича Долина
Jego Ekscelencji	Його Світлості	щодо Королівського Посла
Khorinis	Хорініс
Kolonii Górniczej	Гірничої Колонії
Kopalni Soli	Соляна шахта
Krąg Ognia	Коло Вогню
Księga rachunkowa	бухгалтерська книга
Londram	Лондрам
Mroczne Tajemnice	Темні Таємниці
Mroczny Paladyn	Темний Паладин
Myrtana	Міртана
Myrtańczyków	міртанці
Nie to nie.	Не хочеш - як хочеш.
Nordmarczyk	нордмарець
Nowicjusz	Послушник
Poborca podatkowy	податківець
Potęga Równowagi	Сила балансу
Południowców	південців
Południowiec	південець
Przeor	Настоятель
Przystan	Притулок
Rady Miasta	міської ради
SZ	золотих
Silbach	Сільбах
Skrzynia	Скриня
Starszy Wioski	сільський староста
Vardhal	Вардхал
Varrant	Варант
Volfzacke	Вольфзак
Wasza ekscelencja	Ваша світлість
Wilcze Leże	Вовче Лігво
Wilczy Syn	Вовчий Син
Wilczy Synowie	Вовчі Сини
Wilczych Synów	Вовчих Синів
Wodnego Kręgu	Кільця Води
Wodny Krąg	Кільце Води
Wprowadź mnie do kręgu magii	Введи мене до кола магії
Wrób	підставити
Wschodni Archipelag	Східний Архіпелаг
Wschodniego Archipelagu	Східного Архіпелагу
Wygodne podróżowanie	Швидка поїздка
Wysłannik	посол
Wysłannik Królewski	Королівський посол
Z Khorinis	З Хорінісу
Z Londram	З Лондраму
Zbroja	броня
błotnych węży	болотожерів
ciągle	досі
czas nagli	час підганяє
do slumsów	в нетрі, до нетрів
dotarliśmy	прибули
dziennik	щоденник
glejt	перепустка	залежно від контексту
glejt	посвідчення	залежно від контексту
glejt	пропуск
gońcem	посланцем
górnik	гірник
kaplicy	храму
kapliczka	вівтар	залежно від контексту
kapliczka	каплиця	залежно від контексту
kapliczka	святилище
kapliczki	вівтаря
karczmy	корчми
kopacz	рудокоп
krwiopijce	шершні
krąg magii	коло магії
kręgu magii	кола магії
kręgów magicznych	колам магії
kwatermistrz	інтендант
kłamstw	брехні
kłamstwo	брехня
na Archolos	до Архолосу
niedaleko Silbach	поблизу Сільбаху
nieumarł	нечисть
obywatel	громадянин	залежно від контексту
obywatel	містянин	залежно від контексту
obywatelstwo	громадянство
odtrutka	протиотрута
ogłady	освоїтися
palenisko	піч
pomiotów	породжень
powstrzymać	зупинити
pracowni	майстерні
przy ciele	біля тіла
przybył	прибув
rekruci	новобранці
rekrut	новобранець
rekruta	новобранця
renegatów	відступників
rozwidlenie	роздоріжжя
sprzęt	спорядження
stoczni	корабельні
stragan	прилавок
straż	вартовий
straży miejskiej	міської варти
szermierz	мечник
topielce	луркери
topielec	луркер
tropiciel	слідопит
tropiciele z Araxos	слідопити з Араксос
tyton	тютюн
usługi eskorty	послуги перевезень
w Pękniętej Strunie	в Обірваній струні
w Syrenim Lamencie	у Плачі сирени
w Ustroniu Żeglarza	в Притулку моряка
w karczmie	в корчмі
w porcie	в порту
wartownicy	охорона
wartownicy	охоронці
wartownicy	сторожа
wartownik	охоронець
wyruszył	вирушив
wyruszył	відправився
węże błotne	боротожери
z falochronu	з хвилерізу
zarządcą	голова, керуючий
zębacz	снеппер
zębacze	снеппери
ścierwojada	падальника
ścierwojady	падальники
Żuwaczki	нижні щелепи
żarliwego słońca	палаючого сонця
