Ablo	Абло
Adelard	Аделард
Adi	Аді
Adrien	Едрієн
Albyn	Альбін
Alcas	Алькас
Alder	Альдер
Alena	Аліна
Alfred	Альфред
Alice	Аліса
Allan	Аллан
Ambrosia	Амброзія
Amir	Амір
Amjak	Амджак
Ana	Анна
Anais	Анаіс
Andreas	Андреас
Anskar	Анскар
Antonio	Антоніо
Arethe	Арет
Armar	Армар
Arnold	Арнольд
Ars	Арс
Arthur	Артур
Artur	Артур
Arwid	Арвід
Aske	Аске
Astol	Астол
Badulf	Бадульф
Baes	Байс
Balni	Балні
Baluen	Бейлен
Barnaba	Барнаба
Barry	Баррі
Bastian	Бастіан
Beckett	Беккет
Beinard	Бейнард
Bermar	Бермар
Bernand	Бернанд
Berter	Бертер
Berto	Берто
Bevin	Бевін
Blake	Блейк
Bloodwyn	Бладвін
Bodowin	Бодовін
Boles	Болес
Borr	Борр
Brad	Бред
Bradlock	Бредлок
Broddy	Бродді
Bruce	Брюс
Bruno	Бруно
Cabi	Кабі
Candac	Кандак
Caramon	Карамон
Carden	Карден
Caspar	Каспар
Coen	Коен
Cortez	Кортез
Corum	Корум
Crednar	Креднар
Crisen	Крісен
Culus	Кулус
Curtis	Кертіс
Custo	Кусто
Dack	Дак
Dalmon	Далмон
Dan	Ден
Daniel	Даніель
Danis	Даніс
Darryl	Деріл
Darthe	Дарт
Davis	Девіс
Dawid	Давид
Degory	Дегорі
Dennis	Денніс
Detlow	Детлоу
Devir	Девір
Dietrich	Дітріх
Dima	Діна
Dinkel	Дінкель
Dirk	Дірк
Dismas	Дісмас
Docan	Докан
Dorran	Дорран
Dr. Pymonte	Др. Паймонт
Duncan	Дункан
Duster	Дастер
Edgar	Едгар
Edmund	Едмунд
Eileen	Ейлін
Einar	Ейнар
Elco	Елько
Elfeg	Ельфег
Elias	Еліас
Elid	Елід
Elvart	Ельварт
Eniu	Енью
Ergo	Ерго
Ernesto	Ернесто
Ervalt	Ервальт
Esti	Есті
Euric	Ейріх
Eva	Єва
Ewald	Евальд
Ezekiel	Єзекіїль
Fabio	Фабіо
Fadha	Фадха
Fane	Фейн
Feil	Фейл
Felix	Фелікс
Feller	Феллер
Figaro	Фігаро
Finja	Фінья
Flex	Флекс
Flora	Флора
Folkard	Фолкард
Foral	Форал
Fox	Фокс
Fred	Фред
Frida	Фріда
Fulko	Фулько
Fureg	Фюрег
Fynn	Фінн
Gabrien	Габріен
Galbo	Гальбо
Gamal	Гамаль
Gard	Гард
Garos	Гарос
Garrus	Гаррус
Gaston	Гастон
Gerd	Герд
Gerhard	Герхард
Gerke	Герке
Gerstand	Герстанд
Getoryk	Геторік
Giles	Джайлз
Gonzalo	Гонсало
Grayson	Грейсон
Gregor	Грегор
Gretel	Гретель
Grif	Гриф
Griz	Гріз
Groen	Гроєн
Gron	Грон
Guido	Гвідо
Gumbert	Гумберт
Hargar	Харгар
Harold	Гарольд
Harri	Харрі
Harry	Гаррі
Hasmeth	Гасмет
Havard	Гавард
Havdan	Хевден
Heisner	Гейснер
Helga	Хельга
Helmud	Хельмуд
Henk	Хенк
Herdis	Гердіс
Hershlik	Гершлік
Hierro	Гієрро
Hod	Ход
Holdwig	Гольдвіг
Homer	Гомер
Huug	Хууг
Huxlay	Хакслі
Ignis	Ігнис
Igor	Ігор
Ilse	Ільза
Ingolf	Інгольф
Ingor	Інгор
Ivan	Іван
Ivy	Айві
Javad	Джавад
Jef	Джеф
Jens	Єнс
Jil	Джил
Joe	Джо
Johan	Йохан
Jon	Йон
Joris	Йоріс
Jorn	Йорн
Kaf	Каф
Kaleb	Калеб
Karin	Карін
Kathia	Катя
Katrina	Катріна
Kazeem	Казім
Kessel	Кессель
Kiep	Кіп
Kipper	Кіпер
Klaus	Клаус
Knut	Кнут
Kobus	Кобус
Kolg	Колг
Kuno	Куно
Kurt	Курт
Kyle	Кайл
Kylid	Кайлід
Larry	Ларрі
Lathi	Латі
Laudus	Лаудус
Laurentis	Лаврентіс
Laurin	Лорін
Lazar	Лазар
Lea	Лея
Lean	Ліан
Legrif	Легріф
Lena	Олена
Lennart	Леннарт
Leon	Леон
Leonardo	Леонардо
Leonel	Леонель
Leve	Лів
Lewko	Левко
Limak	Лімак
Liman	Ліман
Loafs	Лоаф
Logar	Логар
Lokvar	Локвар
Lorenzo	Лоренцо
Loria	Лорія
Lowell	Лоувел
Lucas	Лукас
Lucy	Люсі
Ludlof	Людлоф
Ludwig	Людвіг
Luna	Луна
Lutter	Люттер
Lutz	Люц
Madog	Мадог
Maik	Майк
Mailor	Мейлор
Maiwen	Мейвен
Makot	Макот
Malen	Мален
Marco	Марко
Markus	Маркус
Martha	Марта
Marvin	Марвін
Matey	Матей
Mia	Мія
Miki	Мікі
Mikkel	Міккель
Millie	Міллі
Miroh	Міро
Miron	Мирон
Moritz	Моріц
Morris	Морріс
Morty	Морті
Mures	Муреш
Murk	Мурк
Naars	Наарс
Nadine	Надін
Nathaniel	Натаніель
Nayla	Найла
Neir	Нейр
Nek	Нек
Nelson	Нельсон
Neral	Нірал
Nevil	Невіл
Nikolt	Нікольт
Nirka	Нірка
Nivel	Нівел
Norman	Норман
Notger	Нотгер
Odgar	Одгар
Oktav	Октав
Oliver	Олівер
Oscar	Оскар
Osip	Осіп
Osvald	Освальд
Othekar	Отекар
Otho	Отто
Otis	Отіс
Otmar	Отмар
Pablo	Пабло
Paola	Паола
Pat	Пат
Patracjan	Патриціан
Paulus	Паулюс
Pete	Піт
Petra	Петра
Pies	Пес
Pieter	Пітер
Prawus	Правус
Proximo	Проксімо
Racius	Раціус
Rahela	Рахела
Ramha	Рамха
Ramona	Рамона
Ramsey	Рамзі
Randhal	Рендал
Rasco	Раско
Recon	Рікон
Refir	Рефір
Reg	Рег
Remuz	Ремуз
Remy	Ремі
Retogh	Ретог
Richard	Річард
Rierol	Рієрол
Rik	Рік
Riordian	Ріордіан
Rita	Рита
Roderich	Родеріх
Rodrigo	Родріго
Roel	Роел
Rof	Роф
Rolf	Рольф
Ronja	Роня
Rosita	Розіта
Roy	Рой
Rudi	Руді
Runar	Рунар
Rupert	Руперт
Ruud	Рууд
Rębacz	Різник
Sachs	Сакс
Sall	Салл
Salvi	Сальві
